epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,5341.11,0.5151,0.95215,0.52582,0.97024,0.90162,0.891,0.94002,0.87502,0.91165,0.87963,0.92898,0.8472,0.39016,0.89311,0.40915,0.9098,0.009043,0.009043,0.009043
31,5497.43,0.51062,0.94723,0.51695,0.96789,0.91774,0.89999,0.94069,0.87563,0.91898,0.88476,0.93174,0.85239,0.39837,0.85607,0.40211,0.91311,0.00901,0.00901,0.00901
32,5653.7,0.50781,0.94089,0.51177,0.96351,0.9122,0.894,0.94199,0.87538,0.907,0.88909,0.93327,0.8531,0.39489,0.82021,0.41081,0.90959,0.008977,0.008977,0.008977
33,5809.67,0.50809,0.92773,0.50949,0.96651,0.8972,0.90872,0.93735,0.87321,0.8968,0.90058,0.92988,0.85,0.39094,0.82486,0.40467,0.90347,0.008944,0.008944,0.008944
34,5965.12,0.5031,0.9165,0.50784,0.96073,0.90115,0.90036,0.93619,0.87191,0.90013,0.89108,0.92694,0.84404,0.38914,0.88773,0.40758,0.90515,0.008911,0.008911,0.008911
35,6120.83,0.50221,0.92596,0.50457,0.96222,0.91378,0.9006,0.93979,0.87638,0.92292,0.88533,0.93126,0.85023,0.38228,0.84498,0.39025,0.90202,0.008878,0.008878,0.008878
36,6276.49,0.50065,0.91145,0.49592,0.95998,0.90296,0.8999,0.93843,0.87365,0.90428,0.89077,0.92894,0.8513,0.38389,0.81187,0.40074,0.90228,0.008845,0.008845,0.008845
37,6432.23,0.50152,0.91645,0.49994,0.96177,0.9237,0.89768,0.94754,0.88091,0.9181,0.89331,0.9346,0.85266,0.38772,0.85012,0.38601,0.90738,0.008812,0.008812,0.008812
38,6588.7,0.50035,0.90992,0.49448,0.96072,0.91444,0.90265,0.94646,0.88012,0.91227,0.8947,0.93546,0.85239,0.38793,0.84517,0.39027,0.90529,0.008779,0.008779,0.008779
39,6744.5,0.49732,0.90852,0.48781,0.95809,0.89838,0.91894,0.94455,0.87658,0.89997,0.91175,0.93666,0.85247,0.38871,0.81854,0.38736,0.90609,0.008746,0.008746,0.008746
40,6900.1,0.49631,0.90952,0.48986,0.95961,0.91581,0.90429,0.94451,0.88029,0.91037,0.90309,0.93638,0.85711,0.38189,0.81865,0.37782,0.89813,0.008713,0.008713,0.008713
41,7055.83,0.49931,0.91242,0.48728,0.95943,0.91523,0.90038,0.94476,0.88548,0.9119,0.89751,0.9368,0.85869,0.37362,0.81293,0.37587,0.89491,0.00868,0.00868,0.00868
42,7211.13,0.49615,0.8958,0.48277,0.95768,0.91054,0.90629,0.94798,0.88786,0.92287,0.88724,0.93726,0.86234,0.36918,0.80916,0.36835,0.89323,0.008647,0.008647,0.008647
43,7366.3,0.49343,0.88779,0.48006,0.95679,0.90655,0.90178,0.94401,0.88715,0.9226,0.87847,0.93489,0.86111,0.36387,0.79298,0.37611,0.88199,0.008614,0.008614,0.008614
44,7521.82,0.48898,0.88776,0.47373,0.95354,0.91087,0.90507,0.94386,0.88615,0.9133,0.89649,0.93478,0.86121,0.36653,0.80513,0.37881,0.8883,0.008581,0.008581,0.008581
45,7677.41,0.49099,0.89165,0.47388,0.95457,0.89765,0.91797,0.94401,0.88688,0.90508,0.90019,0.93607,0.86354,0.36983,0.80202,0.3783,0.89075,0.008548,0.008548,0.008548
46,7832.61,0.48512,0.87889,0.46915,0.95375,0.92433,0.90317,0.94393,0.88855,0.92381,0.90138,0.93846,0.8633,0.36749,0.79542,0.37512,0.88863,0.008515,0.008515,0.008515
47,7988.25,0.48752,0.88036,0.46551,0.95424,0.92465,0.90305,0.94593,0.89116,0.92443,0.89753,0.93824,0.86278,0.36601,0.79928,0.36887,0.89225,0.008482,0.008482,0.008482
48,8143.79,0.48353,0.86614,0.46409,0.9508,0.91813,0.90249,0.94622,0.88758,0.93204,0.87997,0.93744,0.86336,0.368,0.82224,0.36734,0.89425,0.008449,0.008449,0.008449
49,8297.97,0.48267,0.8765,0.46269,0.95045,0.9187,0.91658,0.94586,0.88961,0.91389,0.91045,0.93729,0.86242,0.37147,0.81997,0.36805,0.89674,0.008416,0.008416,0.008416
50,8454.82,0.48173,0.85849,0.4578,0.95051,0.91911,0.91399,0.94601,0.89008,0.91959,0.90862,0.9382,0.86442,0.36542,0.81352,0.36765,0.89013,0.008383,0.008383,0.008383
51,8610.15,0.48024,0.85919,0.45404,0.95045,0.92853,0.90312,0.94754,0.89089,0.932,0.89537,0.94001,0.86627,0.36454,0.81312,0.36282,0.89119,0.00835,0.00835,0.00835
52,8765.74,0.47992,0.86908,0.45311,0.94936,0.92334,0.90552,0.9454,0.89099,0.92925,0.89445,0.93837,0.86622,0.36555,0.82529,0.35966,0.89316,0.008317,0.008317,0.008317
53,8921.75,0.48556,0.86478,0.45684,0.95156,0.91904,0.90481,0.94542,0.89049,0.92236,0.90022,0.93924,0.86674,0.36103,0.83185,0.35706,0.88915,0.008284,0.008284,0.008284
54,9077.78,0.47944,0.86124,0.453,0.95075,0.92672,0.89936,0.94403,0.89127,0.92543,0.898,0.93778,0.868,0.35674,0.81594,0.36215,0.88763,0.008251,0.008251,0.008251
55,9232.01,0.47921,0.8449,0.45659,0.94778,0.92417,0.89942,0.94402,0.88894,0.92177,0.89719,0.93653,0.86796,0.3565,0.81853,0.36343,0.88747,0.008218,0.008218,0.008218
56,9387.69,0.4774,0.83956,0.44872,0.94851,0.92396,0.90481,0.94385,0.89182,0.9216,0.90158,0.93764,0.8692,0.35472,0.80852,0.35916,0.88333,0.008185,0.008185,0.008185
57,9544.12,0.47671,0.85354,0.45199,0.94723,0.92538,0.9015,0.94269,0.89058,0.92368,0.89797,0.93692,0.86804,0.35408,0.7948,0.36061,0.88066,0.008152,0.008152,0.008152
58,9700.49,0.47846,0.84899,0.44639,0.94747,0.91637,0.90711,0.94547,0.89096,0.9127,0.90271,0.93702,0.86801,0.35303,0.79696,0.35897,0.88069,0.008119,0.008119,0.008119
59,9856.9,0.47648,0.83861,0.44565,0.94835,0.91968,0.89958,0.94487,0.89242,0.92531,0.89435,0.93782,0.86942,0.35179,0.78855,0.35772,0.8799,0.008086,0.008086,0.008086
60,10012.3,0.47664,0.83727,0.44694,0.94687,0.92805,0.90034,0.94545,0.89343,0.92399,0.89762,0.93906,0.86961,0.35158,0.78301,0.35758,0.87889,0.008053,0.008053,0.008053
61,10163.1,0.47382,0.84301,0.43921,0.94587,0.92788,0.90032,0.94509,0.89315,0.91908,0.90241,0.93904,0.86958,0.35009,0.78432,0.35841,0.87694,0.00802,0.00802,0.00802
62,10308.7,0.47431,0.84326,0.44169,0.9459,0.92738,0.90464,0.94592,0.89419,0.92709,0.89618,0.93922,0.86992,0.35067,0.78698,0.3538,0.87858,0.007987,0.007987,0.007987
63,10454.4,0.47419,0.82594,0.43832,0.94529,0.92597,0.90761,0.94566,0.89474,0.9245,0.90094,0.94001,0.87047,0.35088,0.7894,0.35447,0.87892,0.007954,0.007954,0.007954
64,10599.6,0.4703,0.83678,0.44204,0.94502,0.93041,0.89961,0.94562,0.89307,0.92632,0.89519,0.93972,0.86927,0.35108,0.79693,0.35234,0.8804,0.007921,0.007921,0.007921
65,10745,0.4692,0.83594,0.43944,0.94332,0.91612,0.91391,0.94562,0.89405,0.91687,0.9035,0.93857,0.86885,0.35031,0.80583,0.3495,0.88,0.007888,0.007888,0.007888
66,10890.4,0.47088,0.83749,0.43813,0.94201,0.91689,0.91415,0.94662,0.89455,0.91095,0.9084,0.9396,0.86967,0.35124,0.80085,0.349,0.88096,0.007855,0.007855,0.007855
67,11036.7,0.46941,0.83175,0.43521,0.94409,0.91265,0.91758,0.94649,0.89278,0.90756,0.91206,0.93911,0.86794,0.35037,0.81048,0.34881,0.88009,0.007822,0.007822,0.007822
68,11184.4,0.47004,0.82962,0.4367,0.94231,0.91552,0.91638,0.94599,0.89391,0.91027,0.91076,0.93914,0.8695,0.35148,0.80293,0.34733,0.88168,0.007789,0.007789,0.007789
69,11332.7,0.47264,0.8258,0.43683,0.9446,0.91415,0.91858,0.94645,0.8938,0.90826,0.91295,0.93921,0.86941,0.3504,0.79888,0.34874,0.88004,0.007756,0.007756,0.007756
70,11481,0.47014,0.82227,0.43006,0.94214,0.91336,0.91917,0.94659,0.89465,0.92993,0.89093,0.93908,0.86993,0.35113,0.79875,0.35012,0.8806,0.007723,0.007723,0.007723
71,11629.3,0.46393,0.81357,0.4261,0.94056,0.91431,0.91697,0.94737,0.89522,0.93236,0.89025,0.93924,0.86965,0.35069,0.80491,0.35015,0.88039,0.00769,0.00769,0.00769
72,11775.9,0.46746,0.82308,0.42781,0.94078,0.91799,0.91499,0.94749,0.89464,0.93451,0.89161,0.93945,0.86909,0.35024,0.80892,0.35055,0.88024,0.007657,0.007657,0.007657
73,11922.3,0.4628,0.80189,0.41996,0.94077,0.91826,0.91814,0.94732,0.8947,0.93484,0.89312,0.93981,0.8697,0.34978,0.81196,0.35165,0.87977,0.007624,0.007624,0.007624
