epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,5895.11,0.51349,0.93308,0.50277,0.95633,0.92078,0.82972,0.90976,0.84293,0.92158,0.82741,0.90177,0.8155,0.4847,1.24638,0.6277,1.00663,0.008977,0.008977,0.008977
33,6054.65,0.51446,0.91819,0.50606,0.95623,0.92636,0.85155,0.92029,0.85252,0.92418,0.85035,0.912,0.82879,0.47125,1.1938,0.58347,0.99354,0.008944,0.008944,0.008944
34,6214.54,0.50829,0.91395,0.49423,0.95184,0.92031,0.85118,0.92142,0.8472,0.92181,0.84684,0.91383,0.82269,0.48094,1.14254,0.61531,1.00937,0.008911,0.008911,0.008911
35,6373.97,0.5045,0.91223,0.49257,0.95213,0.89563,0.86764,0.91904,0.85309,0.89539,0.86249,0.91361,0.82813,0.4599,1.14791,0.57788,0.98608,0.008878,0.008878,0.008878
36,6533.6,0.50064,0.88475,0.4845,0.95043,0.8988,0.86214,0.91221,0.84722,0.89446,0.85934,0.9067,0.82296,0.47957,1.18627,0.61087,1.00349,0.008845,0.008845,0.008845
37,6693.15,0.50605,0.90633,0.48341,0.95289,0.89991,0.87263,0.92728,0.86068,0.90058,0.87016,0.92121,0.83676,0.46174,1.18384,0.54577,0.98174,0.008812,0.008812,0.008812
38,6852.4,0.50089,0.88936,0.48816,0.94923,0.90633,0.86238,0.92259,0.85613,0.90324,0.85984,0.91554,0.83485,0.46097,1.19182,0.56119,0.98669,0.008779,0.008779,0.008779
39,7003.42,0.49989,0.88422,0.47857,0.94691,0.9086,0.87042,0.92637,0.86682,0.91657,0.85826,0.91983,0.84047,0.4468,1.24663,0.54222,0.97733,0.008746,0.008746,0.008746
40,7155.27,0.49765,0.89991,0.47291,0.94742,0.91308,0.85506,0.91926,0.85783,0.91178,0.85341,0.91413,0.83083,0.45508,1.17018,0.5795,0.98715,0.008713,0.008713,0.008713
41,7306.16,0.49306,0.87738,0.47404,0.94522,0.89813,0.8629,0.92017,0.85751,0.90031,0.86286,0.91327,0.83397,0.45276,1.19115,0.59381,0.97591,0.00868,0.00868,0.00868
42,7456.67,0.4959,0.87042,0.46783,0.94462,0.89493,0.88166,0.92591,0.8686,0.89312,0.88032,0.9214,0.84257,0.44095,1.20319,0.52935,0.97512,0.008647,0.008647,0.008647
43,7606.71,0.49795,0.87949,0.47039,0.9499,0.90044,0.87018,0.91958,0.85973,0.89741,0.8693,0.91187,0.83484,0.43908,1.20669,0.58128,0.97059,0.008614,0.008614,0.008614
44,7757.17,0.48859,0.85299,0.45617,0.9438,0.91309,0.85752,0.92112,0.86096,0.91309,0.85752,0.91441,0.83809,0.42906,1.13287,0.56771,0.96085,0.008581,0.008581,0.008581
45,7907.25,0.496,0.86423,0.47001,0.94693,0.89277,0.88387,0.92694,0.86797,0.88841,0.87869,0.92061,0.84464,0.43348,1.15476,0.54056,0.965,0.008548,0.008548,0.008548
46,8057.28,0.4932,0.87436,0.46184,0.94331,0.92322,0.86135,0.92514,0.86727,0.92766,0.85553,0.9201,0.84215,0.42905,1.14768,0.5424,0.96288,0.008515,0.008515,0.008515
47,8207.53,0.49272,0.87122,0.46015,0.94396,0.91427,0.86056,0.92244,0.86542,0.92006,0.85446,0.91742,0.84017,0.43688,1.16818,0.54208,0.9648,0.008482,0.008482,0.008482
48,8358.32,0.48961,0.86894,0.4585,0.94413,0.90544,0.87563,0.92637,0.86896,0.91173,0.8703,0.91974,0.8438,0.42693,1.15293,0.52381,0.95727,0.008449,0.008449,0.008449
49,8508.82,0.48508,0.84106,0.45006,0.94047,0.88815,0.88486,0.92739,0.87053,0.88779,0.88031,0.92126,0.84566,0.41755,1.2004,0.52039,0.95206,0.008416,0.008416,0.008416
50,8659.29,0.4895,0.85833,0.45139,0.94028,0.91388,0.85615,0.9197,0.86459,0.92418,0.84823,0.91305,0.83945,0.4305,1.26284,0.55228,0.96336,0.008383,0.008383,0.008383
51,8809.83,0.48368,0.85033,0.44397,0.94083,0.91211,0.86846,0.92645,0.87158,0.91087,0.86699,0.9209,0.84834,0.41486,1.20438,0.51461,0.94732,0.00835,0.00835,0.00835
52,8959.83,0.48287,0.83625,0.44752,0.93887,0.93028,0.85702,0.92956,0.87401,0.92937,0.85609,0.92387,0.84839,0.42138,1.22528,0.52103,0.95344,0.008317,0.008317,0.008317
53,9157.08,0.48275,0.84674,0.44518,0.9396,0.92026,0.87099,0.92932,0.87499,0.92416,0.86579,0.92468,0.85196,0.42135,1.20477,0.51806,0.9533,0.008284,0.008284,0.008284
54,9357.5,0.47881,0.83034,0.44234,0.93758,0.90652,0.87821,0.92972,0.87564,0.90538,0.87728,0.92542,0.85129,0.41666,1.17901,0.49661,0.94997,0.008251,0.008251,0.008251
55,9556.01,0.47874,0.84261,0.43447,0.9365,0.92,0.86769,0.92604,0.87221,0.9192,0.86707,0.92081,0.85027,0.42038,1.22441,0.53232,0.95807,0.008218,0.008218,0.008218
56,9744.15,0.47943,0.83623,0.4386,0.93608,0.91218,0.87432,0.92726,0.87288,0.91296,0.86985,0.92217,0.84959,0.41952,1.21572,0.52625,0.95405,0.008185,0.008185,0.008185
57,9941.09,0.479,0.83382,0.43201,0.93635,0.93277,0.86435,0.92773,0.87489,0.93398,0.86215,0.92221,0.84959,0.40836,1.1778,0.51327,0.94453,0.008152,0.008152,0.008152
58,10112.7,0.47824,0.82828,0.43588,0.93526,0.92293,0.86234,0.92388,0.87174,0.92275,0.8622,0.91943,0.84841,0.40936,1.22482,0.52958,0.94396,0.008119,0.008119,0.008119
59,10274.3,0.47356,0.82496,0.42948,0.9344,0.91663,0.86457,0.92475,0.87101,0.9206,0.86052,0.91793,0.8484,0.4112,1.23134,0.53402,0.9467,0.008086,0.008086,0.008086
60,10436.2,0.47567,0.82574,0.43053,0.93601,0.91386,0.87355,0.92649,0.87283,0.91661,0.86912,0.92132,0.85007,0.40808,1.22087,0.50623,0.94709,0.008053,0.008053,0.008053
61,10597.9,0.4719,0.8248,0.42765,0.93169,0.91242,0.87542,0.92791,0.87446,0.92534,0.86279,0.92266,0.8499,0.40803,1.21107,0.51506,0.94709,0.00802,0.00802,0.00802
62,10758.9,0.47534,0.82172,0.42488,0.93484,0.91305,0.87346,0.92536,0.87582,0.91594,0.87148,0.92106,0.85025,0.41021,1.1974,0.53584,0.94554,0.007987,0.007987,0.007987
63,10943.3,0.47178,0.81316,0.42395,0.9313,0.9124,0.87482,0.92533,0.8755,0.91379,0.87165,0.92135,0.85078,0.40915,1.19867,0.53063,0.94241,0.007954,0.007954,0.007954
64,11139,0.47309,0.81681,0.42318,0.93084,0.91862,0.8685,0.92774,0.87669,0.91745,0.86739,0.92299,0.85087,0.40675,1.20023,0.52145,0.94175,0.007921,0.007921,0.007921
65,11302.8,0.4742,0.81115,0.42125,0.9358,0.91025,0.88183,0.92744,0.8762,0.90949,0.88121,0.9233,0.8525,0.40135,1.16849,0.51114,0.93634,0.007888,0.007888,0.007888
66,11463.9,0.47073,0.80697,0.42023,0.93202,0.90436,0.8801,0.92579,0.87644,0.9125,0.86936,0.92102,0.85292,0.39708,1.19462,0.51556,0.9338,0.007855,0.007855,0.007855
67,11654.2,0.4725,0.81187,0.41873,0.93365,0.92821,0.86892,0.92747,0.87872,0.92621,0.86763,0.92263,0.85535,0.39589,1.18596,0.50887,0.93331,0.007822,0.007822,0.007822
68,11856.2,0.47076,0.80768,0.41042,0.92985,0.91662,0.88019,0.9279,0.87683,0.91956,0.87285,0.91996,0.85315,0.40234,1.18568,0.51778,0.93996,0.007789,0.007789,0.007789
69,12064.4,0.46721,0.7944,0.40899,0.92924,0.91888,0.88242,0.92708,0.87725,0.92016,0.87834,0.92187,0.8538,0.40011,1.1725,0.51075,0.93733,0.007756,0.007756,0.007756
70,12256.4,0.46825,0.80771,0.41231,0.93165,0.91607,0.87824,0.92593,0.8791,0.91736,0.87824,0.92259,0.85474,0.39698,1.174,0.50765,0.93637,0.007723,0.007723,0.007723
71,12455.2,0.4663,0.79958,0.41669,0.92968,0.91502,0.87738,0.92803,0.87897,0.91341,0.8758,0.92247,0.8558,0.39941,1.17383,0.5115,0.93782,0.00769,0.00769,0.00769
72,12652.5,0.46928,0.80036,0.41646,0.933,0.92432,0.87503,0.92799,0.87887,0.9248,0.87406,0.92285,0.85531,0.39291,1.17316,0.51141,0.93129,0.007657,0.007657,0.007657
73,12860.2,0.46488,0.79276,0.41124,0.9284,0.91695,0.87874,0.92905,0.88105,0.91729,0.87839,0.92443,0.85657,0.39203,1.18198,0.50867,0.93182,0.007624,0.007624,0.007624
74,13064,0.46551,0.80293,0.41442,0.93165,0.91038,0.88211,0.93101,0.88325,0.91096,0.88087,0.92605,0.85865,0.39099,1.20129,0.49685,0.9311,0.007591,0.007591,0.007591
75,13266.8,0.46247,0.79806,0.40996,0.92868,0.91854,0.87916,0.93126,0.88349,0.91747,0.87751,0.9258,0.85866,0.39031,1.20083,0.49484,0.93076,0.007558,0.007558,0.007558
76,13485,0.46499,0.79064,0.40881,0.93086,0.92707,0.86966,0.93175,0.88456,0.92789,0.86904,0.92678,0.86007,0.39115,1.20506,0.49215,0.93281,0.007525,0.007525,0.007525
77,13694.3,0.46004,0.78902,0.40349,0.92603,0.9215,0.87225,0.93139,0.88366,0.93014,0.86505,0.92633,0.85999,0.39263,1.20569,0.49439,0.93451,0.007492,0.007492,0.007492
78,13892.8,0.45962,0.78945,0.3999,0.92693,0.91897,0.87299,0.93115,0.88374,0.92105,0.86959,0.92657,0.8599,0.39219,1.19566,0.50062,0.93344,0.007459,0.007459,0.007459
79,14055.8,0.46345,0.79058,0.40579,0.9292,0.89331,0.89538,0.93096,0.88355,0.91434,0.87442,0.92574,0.85916,0.39133,1.19517,0.49791,0.93391,0.007426,0.007426,0.007426
80,14228.1,0.45712,0.77931,0.39949,0.92502,0.9205,0.87372,0.93004,0.88333,0.91977,0.87315,0.92543,0.85911,0.39449,1.19277,0.49916,0.93733,0.007393,0.007393,0.007393
81,14394.7,0.46245,0.78527,0.40257,0.92951,0.90471,0.88614,0.92986,0.88371,0.90359,0.88521,0.92681,0.85974,0.39494,1.20022,0.49883,0.9356,0.00736,0.00736,0.00736
82,14561.6,0.45849,0.77378,0.39755,0.92536,0.9068,0.8847,0.92958,0.88307,0.90682,0.88432,0.92636,0.85881,0.39938,1.21453,0.50418,0.93998,0.007327,0.007327,0.007327
83,14724.4,0.4568,0.77613,0.39273,0.92546,0.905,0.88446,0.92903,0.8825,0.90674,0.88234,0.92594,0.85872,0.39691,1.22682,0.50631,0.93687,0.007294,0.007294,0.007294
84,14892.6,0.4587,0.77298,0.39871,0.92389,0.91395,0.87418,0.93011,0.88309,0.91355,0.87387,0.92569,0.85946,0.39561,1.22586,0.50379,0.93452,0.007261,0.007261,0.007261
85,15069.4,0.45667,0.77832,0.39271,0.9241,0.92563,0.8698,0.9312,0.8833,0.92434,0.87005,0.92632,0.86027,0.39199,1.22355,0.49728,0.93141,0.007228,0.007228,0.007228
86,15271.2,0.4523,0.76861,0.39038,0.92185,0.9188,0.87396,0.93054,0.88373,0.91838,0.87374,0.92611,0.86029,0.39123,1.21719,0.49583,0.92996,0.007195,0.007195,0.007195
