epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.856,0.59345,1.29397,2.11228,1.01558,0.7403,0.70033,0.7682,0.67295,0.73809,0.69454,0.75859,0.65804,0.57235,1.30698,1.43819,1.08102,0.0033232,0.0033232,0.0033232
2,441.05,0.62009,1.20982,1.23969,1.01571,0.52315,0.43428,0.36966,0.28296,0.51294,0.418,0.34088,0.2415,1.03688,3.1616,3.01805,1.69001,0.00663457,0.00663457,0.00663457
3,659.998,0.74539,1.40926,1.20749,1.08852,0.63087,0.54245,0.58539,0.4635,0.63768,0.53468,0.57322,0.44733,0.98588,2.48445,1.80332,1.43912,0.00992394,0.00992394,0.00992394
4,869.712,0.71484,1.34185,1.01794,1.07197,0.73482,0.62364,0.72252,0.60613,0.73153,0.61797,0.71011,0.57951,0.8004,1.73007,1.50877,1.29369,0.009901,0.009901,0.009901
5,1079.93,0.68274,1.27911,0.90965,1.0532,0.62711,0.58451,0.60515,0.49137,0.60434,0.58645,0.58475,0.46651,0.92901,2.46136,1.69901,1.4291,0.009868,0.009868,0.009868
6,1291.45,0.64979,1.22315,0.83288,1.03605,0.76921,0.69584,0.78193,0.65114,0.7652,0.69104,0.76632,0.62266,0.75866,1.76837,1.18899,1.24647,0.009835,0.009835,0.009835
7,1497.46,0.63582,1.18483,0.79112,1.0257,0.7625,0.74326,0.78591,0.67493,0.7586,0.73854,0.77683,0.65794,0.66806,1.57617,1.03711,1.17065,0.009802,0.009802,0.009802
8,1702,0.61931,1.18022,0.75437,1.021,0.8534,0.77488,0.86203,0.75041,0.84688,0.77054,0.84822,0.72894,0.62377,1.42154,0.82442,1.1226,0.009769,0.009769,0.009769
9,1909.92,0.61021,1.15304,0.72784,1.01387,0.8492,0.74988,0.84202,0.74596,0.84156,0.74516,0.83073,0.7258,0.62397,1.37849,0.96626,1.13192,0.009736,0.009736,0.009736
10,2111.37,0.59734,1.1219,0.69548,1.00575,0.87161,0.78728,0.85211,0.75318,0.86549,0.78479,0.84276,0.73372,0.60941,1.37133,0.84908,1.12527,0.009703,0.009703,0.009703
11,2311.19,0.59439,1.12485,0.68485,1.00476,0.84974,0.82888,0.88468,0.78419,0.8428,0.82167,0.87421,0.76127,0.60259,1.36809,0.72852,1.10724,0.00967,0.00967,0.00967
12,2510.37,0.58332,1.09181,0.66562,0.99801,0.86793,0.83873,0.89575,0.79498,0.87084,0.82762,0.88595,0.77762,0.55353,1.25799,0.68663,1.06626,0.009637,0.009637,0.009637
13,2707.56,0.57548,1.07834,0.6428,0.99498,0.84241,0.73615,0.83447,0.74546,0.83543,0.72783,0.82184,0.72022,0.60154,1.3839,0.96995,1.11166,0.009604,0.009604,0.009604
14,2906.26,0.56738,1.0643,0.62881,0.99025,0.86128,0.81869,0.88962,0.79352,0.85467,0.81589,0.87858,0.77173,0.56068,1.25062,0.71141,1.07533,0.009571,0.009571,0.009571
15,3103.51,0.56381,1.04511,0.6184,0.98729,0.89192,0.75009,0.87079,0.77997,0.89254,0.74881,0.86246,0.75493,0.5748,1.3631,0.84744,1.09111,0.009538,0.009538,0.009538
16,3294.18,0.55808,1.04267,0.60784,0.983,0.84806,0.80933,0.8715,0.78369,0.8476,0.80593,0.86185,0.76039,0.56475,1.36262,0.77454,1.08211,0.009505,0.009505,0.009505
17,3462.02,0.55113,1.01941,0.59023,0.97989,0.8686,0.80873,0.88445,0.79289,0.87094,0.79971,0.87301,0.76971,0.52527,1.34538,0.69748,1.05105,0.009472,0.009472,0.009472
18,3631.24,0.55003,1.02822,0.58883,0.97768,0.84498,0.76897,0.83545,0.75858,0.85174,0.75918,0.82668,0.73719,0.57063,1.312,0.93211,1.09342,0.009439,0.009439,0.009439
19,3798.56,0.54554,1.00205,0.58067,0.97562,0.87494,0.83206,0.89701,0.82083,0.86891,0.82854,0.88982,0.7997,0.51829,1.23211,0.69322,1.03505,0.009406,0.009406,0.009406
20,3966.62,0.54626,1.00082,0.57291,0.97826,0.87483,0.82267,0.89151,0.81576,0.8721,0.81991,0.88637,0.79114,0.52151,1.25024,0.69859,1.03906,0.009373,0.009373,0.009373
21,4133.51,0.54215,0.9911,0.56284,0.97132,0.89856,0.82056,0.89717,0.81836,0.89641,0.81849,0.88897,0.79574,0.53857,1.19018,0.69401,1.04464,0.00934,0.00934,0.00934
22,4294.88,0.53936,0.99782,0.55671,0.96917,0.86535,0.81097,0.87334,0.79442,0.8666,0.80577,0.86554,0.77711,0.52048,1.27751,0.76037,1.03915,0.009307,0.009307,0.009307
23,4455.56,0.53267,0.96176,0.55038,0.96637,0.90631,0.81819,0.90185,0.81995,0.9024,0.81366,0.89156,0.79586,0.51443,1.2372,0.70517,1.03595,0.009274,0.009274,0.009274
24,4615.7,0.53081,0.9778,0.54638,0.96762,0.89281,0.83199,0.89335,0.81565,0.89188,0.82972,0.88771,0.79768,0.53658,1.2479,0.68449,1.04198,0.009241,0.009241,0.009241
25,4775.62,0.52366,0.97525,0.53701,0.96447,0.8976,0.77913,0.87241,0.79795,0.89517,0.78018,0.86505,0.77983,0.53081,1.29738,0.76944,1.04698,0.009208,0.009208,0.009208
26,4935.64,0.52437,0.95509,0.53353,0.9617,0.88725,0.82524,0.89736,0.82061,0.88347,0.82203,0.88813,0.79853,0.49697,1.21102,0.69463,1.01519,0.009175,0.009175,0.009175
27,5095.46,0.52175,0.94096,0.52815,0.95954,0.91543,0.83251,0.91351,0.83996,0.91523,0.83241,0.90815,0.81462,0.49127,1.21459,0.63448,1.01396,0.009142,0.009142,0.009142
28,5255.45,0.52545,0.95262,0.52651,0.96276,0.8873,0.86093,0.9088,0.83552,0.89261,0.85064,0.9013,0.80654,0.52565,1.22203,0.62904,1.04838,0.009109,0.009109,0.009109
29,5414.9,0.51824,0.93894,0.51814,0.96053,0.91248,0.83469,0.90579,0.83805,0.91192,0.8304,0.89714,0.81254,0.48456,1.26854,0.65293,0.99806,0.009076,0.009076,0.009076
30,5575.29,0.5147,0.93181,0.51068,0.9569,0.88233,0.86983,0.91472,0.83901,0.87716,0.86778,0.90574,0.81524,0.49019,1.23202,0.57874,1.00948,0.009043,0.009043,0.009043
31,5735.1,0.51146,0.91821,0.50386,0.95625,0.89174,0.85498,0.91926,0.85425,0.88939,0.85149,0.91266,0.82857,0.47151,1.23986,0.59908,0.99184,0.00901,0.00901,0.00901
